Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
45,7,1,19,1,Some Random Commen with Id 45
46,7,1,78,3,Some Random Commen with Id 46
47,7,1,30,2,Some Random Commen with Id 47
48,7,1,117,5,Some Random Commen with Id 48
49,8,4,26,1,Some Random Commen with Id 49
50,8,4,181,2,Some Random Commen with Id 50
51,8,4,130,7,Some Random Commen with Id 51
52,8,4,29,3,Some Random Commen with Id 52
53,8,4,137,3,Some Random Commen with Id 53
54,8,4,189,7,Some Random Commen with Id 54
55,8,4,60,2,Some Random Commen with Id 55
56,8,4,50,4,Some Random Commen with Id 56
57,8,4,142,3,Some Random Commen with Id 57
58,9,3,194,6,Some Random Commen with Id 58
59,9,3,120,7,Some Random Commen with Id 59
60,9,3,159,7,Some Random Commen with Id 60
61,9,3,116,8,Some Random Commen with Id 61
62,9,3,50,7,Some Random Commen with Id 62
63,9,3,173,1,Some Random Commen with Id 63
64,10,4,22,0,Some Random Commen with Id 64
65,10,4,4,2,Some Random Commen with Id 65
66,10,4,161,2,Some Random Commen with Id 66
67,10,4,40,0,Some Random Commen with Id 67
68,10,4,79,3,Some Random Commen with Id 68
69,10,4,173,8,Some Random Commen with Id 69
70,10,4,37,7,Some Random Commen with Id 70
71,10,4,46,1,Some Random Commen with Id 71
72,11,6,120,0,Some Random Commen with Id 72
73,11,6,77,7,Some Random Commen with Id 73
74,11,6,140,5,Some Random Commen with Id 74
75,11,6,163,3,Some Random Commen with Id 75
76,11,6,190,3,Some Random Commen with Id 76
77,11,6,14,5,Some Random Commen with Id 77
78,11,6,163,6,Some Random Commen with Id 78
79,11,6,137,4,Some Random Commen with Id 79
80,12,7,199,8,Some Random Commen with Id 80
81,13,2,76,9,Some Random Commen with Id 81
82,13,2,103,8,Some Random Commen with Id 82
83,14,7,20,3,Some Random Commen with Id 83
84,14,7,191,4,Some Random Commen with Id 84
85,14,7,49,8,Some Random Commen with Id 85
86,14,7,102,3,Some Random Commen with Id 86
87,14,7,64,1,Some Random Commen with Id 87
88,14,7,118,7,Some Random Commen with Id 88
89,14,7,70,8,Some Random Commen with Id 89
90,14,7,179,7,Some Random Commen with Id 90
91,14,7,153,0,Some Random Commen with Id 91
92,15,7,191,9,Some Random Commen with Id 92
93,15,7,36,2,Some Random Commen with Id 93
94,15,7,17,0,Some Random Commen with Id 94
95,15,7,159,0,Some Random Commen with Id 95
96,15,7,78,6,Some Random Commen with Id 96
97,15,7,137,7,Some Random Commen with Id 97
98,15,7,84,2,Some Random Commen with Id 98
99,15,7,27,1,Some Random Commen with Id 99
100,16,3,198,3,Some Random Commen with Id 100
101,16,3,120,6,Some Random Commen with Id 101
102,16,3,154,9,Some Random Commen with Id 102
103,16,3,7,5,Some Random Commen with Id 103
104,16,3,130,0,Some Random Commen with Id 104
105,16,3,188,1,Some Random Commen with Id 105
106,16,3,155,9,Some Random Commen with Id 106
107,16,3,40,4,Some Random Commen with Id 107
108,17,4,164,0,Some Random Commen with Id 108
109,17,4,165,4,Some Random Commen with Id 109
110,17,4,32,4,Some Random Commen with Id 110
111,17,4,66,6,Some Random Commen with Id 111
112,18,8,19,8,Some Random Commen with Id 112
113,18,8,188,1,Some Random Commen with Id 113
114,18,8,147,0,Some Random Commen with Id 114
115,18,8,54,5,Some Random Commen with Id 115
116,18,8,147,2,Some Random Commen with Id 116
117,18,8,106,2,Some Random Commen with Id 117
118,19,5,199,7,Some Random Commen with Id 118
119,20,4,61,8,Some Random Commen with Id 119
120,21,9,32,8,Some Random Commen with Id 120
121,21,9,41,0,Some Random Commen with Id 121
122,21,9,71,5,Some Random Commen with Id 122
123,21,9,65,0,Some Random Commen with Id 123
124,21,9,3,8,Some Random Commen with Id 124
125,21,9,155,9,Some Random Commen with Id 125
126,22,3,40,1,Some Random Commen with Id 126
127,22,3,16,6,Some Random Commen with Id 127
128,22,3,76,2,Some Random Commen with Id 128
129,22,3,174,7,Some Random Commen with Id 129
130,22,3,186,5,Some Random Commen with Id 130
131,22,3,79,9,Some Random Commen with Id 131
132,22,3,91,2,Some Random Commen with Id 132
133,23,3,93,3,Some Random Commen with Id 133
134,23,3,145,1,Some Random Commen with Id 134
135,23,3,72,8,Some Random Commen with Id 135
136,23,3,168,0,Some Random Commen with Id 136
137,23,3,92,8,Some Random Commen with Id 137
138,23,3,138,7,Some Random Commen with Id 138
139,23,3,150,5,Some Random Commen with Id 139
140,24,3,153,8,Some Random Commen with Id 140
141,24,3,186,8,Some Random Commen with Id 141
142,24,3,153,9,Some Random Commen with Id 142
143,24,3,134,6,Some Random Commen with Id 143
144,24,3,83,9,Some Random Commen with Id 144
145,25,4,97,8,Some Random Commen with Id 145
146,25,4,135,9,Some Random Commen with Id 146
147,25,4,42,5,Some Random Commen with Id 147
148,25,4,67,3,Some Random Commen with Id 148
149,26,5,143,0,Some Random Commen with Id 149
150,26,5,117,1,Some Random Commen with Id 150
151,26,5,28,9,Some Random Commen with Id 151
152,26,5,152,2,Some Random Commen with Id 152
153,26,5,92,1,Some Random Commen with Id 153
154,27,6,38,6,Some Random Commen with Id 154
155,27,6,48,5,Some Random Commen with Id 155
156,27,6,61,1,Some Random Commen with Id 156
157,27,6,190,1,Some Random Commen with Id 157
158,27,6,18,1,Some Random Commen with Id 158
159,27,6,41,5,Some Random Commen with Id 159
160,27,6,66,9,Some Random Commen with Id 160
161,28,8,67,4,Some Random Commen with Id 161
162,28,8,173,1,Some Random Commen with Id 162
163,28,8,192,9,Some Random Commen with Id 163
164,28,8,66,6,Some Random Commen with Id 164
165,28,8,59,4,Some Random Commen with Id 165
166,28,8,63,4,Some Random Commen with Id 166
167,29,6,151,7,Some Random Commen with Id 167
168,29,6,90,6,Some Random Commen with Id 168
169,29,6,66,8,Some Random Commen with Id 169
170,29,6,96,9,Some Random Commen with Id 170
171,29,6,110,0,Some Random Commen with Id 171
172,29,6,191,6,Some Random Commen with Id 172
173,29,6,78,9,Some Random Commen with Id 173
174,29,6,75,5,Some Random Commen with Id 174
175,29,6,141,6,Some Random Commen with Id 175
176,30,4,155,3,Some Random Commen with Id 176
177,30,4,126,0,Some Random Commen with Id 177
178,30,4,78,4,Some Random Commen with Id 178
179,30,4,53,9,Some Random Commen with Id 179
180,32,4,61,6,Some Random Commen with Id 180
181,32,4,89,9,Some Random Commen with Id 181
182,32,4,37,3,Some Random Commen with Id 182
183,32,4,35,5,Some Random Commen with Id 183
184,32,4,47,9,Some Random Commen with Id 184
185,33,9,157,8,Some Random Commen with Id 185
186,33,9,4,5,Some Random Commen with Id 186
187,33,9,179,0,Some Random Commen with Id 187
188,34,6,124,0,Some Random Commen with Id 188
189,34,6,150,0,Some Random Commen with Id 189
190,34,6,29,7,Some Random Commen with Id 190
191,34,6,189,2,Some Random Commen with Id 191
192,34,6,21,2,Some Random Commen with Id 192
193,35,0,110,6,Some Random Commen with Id 193
194,35,0,175,0,Some Random Commen with Id 194
195,35,0,53,0,Some Random Commen with Id 195
196,35,0,121,4,Some Random Commen with Id 196
197,35,0,108,5,Some Random Commen with Id 197
198,35,0,168,6,Some Random Commen with Id 198
199,35,0,58,7,Some Random Commen with Id 199
200,36,6,112,8,Some Random Commen with Id 200
201,36,6,66,7,Some Random Commen with Id 201
202,36,6,52,4,Some Random Commen with Id 202
203,36,6,44,7,Some Random Commen with Id 203
204,36,6,178,6,Some Random Commen with Id 204
205,36,6,16,7,Some Random Commen with Id 205
206,36,6,30,0,Some Random Commen with Id 206
207,36,6,164,8,Some Random Commen with Id 207
208,37,9,89,5,Some Random Commen with Id 208
209,38,3,16,6,Some Random Commen with Id 209
210,38,3,35,7,Some Random Commen with Id 210
211,38,3,53,6,Some Random Commen with Id 211
212,38,3,7,0,Some Random Commen with Id 212
213,38,3,193,2,Some Random Commen with Id 213
214,38,3,111,1,Some Random Commen with Id 214
215,38,3,118,6,Some Random Commen with Id 215
216,39,0,4,3,Some Random Commen with Id 216
217,39,0,51,0,Some Random Commen with Id 217
218,39,0,185,6,Some Random Commen with Id 218
219,39,0,130,4,Some Random Commen with Id 219
220,39,0,76,3,Some Random Commen with Id 220
221,39,0,20,0,Some Random Commen with Id 221
222,39,0,2,7,Some Random Commen with Id 222
